
на 1 января
;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;15677;15219;14753;14248;13790;13261;12728;12348;12042;;;;;;;;;
Городское население;12883;12551;12276;11917;11599;11198;10729;10430;10205;;;;;;;;;
Сельское население;2794;2668;2477;2331;2191;2063;1999;1918;1837;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;19617;19212;18636;18155;17929;17716;17634;17557;17410;17297;17129;17009;16925;16781;16294;16187;16012;
Сельское население;19617;19212;18636;18155;17929;17716;17634;17557;17410;17297;17129;17009;16925;16781;16294;16187;16012;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;24647;24034;23243;22401;21854;21213;20572;19925;19453;19013;18716;18539;18458;18246;15250;14981;;
Городское население;17512;17265;16946;16479;16159;15871;15637;15343;15059;14742;14568;14485;14489;14436;12827;12630;;
Сельское население;7135;6769;6297;5922;5695;5342;4935;4582;4394;4271;4148;4054;3969;3810;2423;2351;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;8827;8665;8393;8244;8124;7972;7766;7630;7549;7435;7332;7210;7152;6940;7571;7470;7407;
Сельское население;8827;8665;8393;8244;8124;7972;7766;7630;7549;7435;7332;7210;7152;6940;7571;7470;7407;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;20686;20231;19547;19213;19202;19169;18954;18814;18593;18379;18071;17963;17765;17304;18538;18232;18024;
Сельское население;20686;20231;19547;19213;19202;19169;18954;18814;18593;18379;18071;17963;17765;17304;18538;18232;18024;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;59568;58547;57118;56139;55187;54288;53484;52883;51884;50842;49744;48863;47912;46708;42796;42164;41636;
Городское население;50156;49437;48402;47669;46942;46309;45900;45549;44761;43991;43162;42490;41739;40765;37774;37327;37023;
Сельское население;9412;9110;8716;8470;8245;7979;7584;7334;7123;6851;6582;6373;6173;5943;5022;4837;4613;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;21803;21260;20588;20002;19451;19037;18677;18179;17816;17276;16916;16657;16435;16073;17418;17018;16768;
Сельское население;21803;21260;20588;20002;19451;19037;18677;18179;17816;17276;16916;16657;16435;16073;17418;17018;16768;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;48036;47388;46586;46035;45681;45176;44720;44255;43964;43507;42939;42628;42221;41623;34217;33872;33512;
Городское население;41742;41315;40680;40206;39835;39500;39166;38796;38610;38289;37921;37732;37483;37061;31073;30861;30553;
Сельское население;6294;6073;5906;5829;5846;5676;5554;5459;5354;5218;5018;4896;4738;4562;3144;3011;2959;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;22724;22711;22704;23174;23445;23631;23936;24111;24194;24262;24392;24468;24461;24430;21432;21462;21462;
Сельское население;22724;22711;22704;23174;23445;23631;23936;24111;24194;24262;24392;24468;24461;24430;21432;21462;21462;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;14645;14237;13878;13695;13576;13386;13316;13165;13007;12818;12541;12407;12186;11909;11753;11592;11396;
Сельское население;14645;14237;13878;13695;13576;13386;13316;13165;13007;12818;12541;12407;12186;11909;11753;11592;11396;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;14813;14379;13817;13350;12945;12435;12042;11724;11498;11206;10886;10612;10348;10035;9676;9461;9204;
Городское население;7655;7461;7258;7086;6874;6611;6430;6350;6315;6249;6154;6043;5927;5829;5876;5824;5748;
Сельское население;7158;6918;6559;6264;6071;5824;5612;5374;5183;4957;4732;4569;4421;4206;3800;3637;3456;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;21323;20905;20299;19880;19479;19058;18549;18104;17903;17584;17153;16900;16643;16237;12529;12261;11912;
Городское население;9139;9003;8940;8740;8640;8503;8476;8493;8477;8481;8392;8318;8213;8068;7856;7782;7690;
Сельское население;12184;11902;11359;11140;10839;10555;10073;9611;9426;9103;8761;8582;8430;8169;4673;4479;4222;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;30723;30055;29264;28584;27976;27547;27016;26530;26192;25786;25377;24998;24514;24103;23861;23548;23279;
Городское население;19869;19566;19164;18649;18296;18037;17810;17532;17337;17148;16934;16702;16427;16174;15380;15164;15004;
Сельское население;10854;10489;10100;9935;9680;9510;9206;8998;8855;8638;8443;8296;8087;7929;8481;8384;8275;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;28132;27575;26690;26246;25853;25520;25223;24775;24499;24195;23769;23493;23180;22661;22164;21766;21419;
Сельское население;28132;27575;26690;26246;25853;25520;25223;24775;24499;24195;23769;23493;23180;22661;22164;21766;21419;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Оценка численности населения на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
Все население;13798;13438;12944;12656;12355;12122;11898;11689;11552;11326;11166;11056;10986;10848;10478;10360;10217;
Сельское население;13798;13438;12944;12656;12355;12122;11898;11689;11552;11326;11166;11056;10986;10848;10478;10360;10217;

Всего, на 1 января
;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;
Всего;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;15677;15763;14753;;;;;;12042;;;;;;;;
Женщины;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;8222;8254;7751;;;;;;6424;;;;;;;;
Мужчины;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;7455;7509;7002;;;;;;5618;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;
Всего;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;19617;19303;18636;;;;;;17410;17297;17129;17009;16925;16408;16294;16187;
Женщины;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;9877;9678;9334;;;;;;8648;8604;8548;8485;8477;8274;8210;8182;
Мужчины;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;9740;9625;9302;;;;;;8762;8693;8581;8524;8448;8134;8084;8005;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;;
Всего;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;26647;25066;23243;;;;;;19453;19013;18716;18539;18458;15496;15250;14981;
Женщины;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;11590;11207;10916;;;;;;8948;8768;8581;8480;8396;8079;7953;7825;
Мужчины;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;13057;13859;12327;;;;;;10505;10245;10135;10059;10062;7417;7297;7156;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;;;;;;
Всего;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;8827;9011;8393;;;;;;7549;7435;7332;7210;7152;7680;7571;7470;
Женщины;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;4630;4657;4410;;;;;;4012;3964;3906;3822;3788;4008;3979;3926;
Мужчины;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;4197;4354;3983;;;;;;3537;3471;3426;3388;3364;3672;3592;3544;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;;;;;;
Всего;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;20686;22289;19547;;;;;;18593;18379;18071;17963;17765;18850;18538;18232;
Женщины;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;10863;11485;10253;;;;;;9676;9571;9403;9340;9217;9810;9643;9484;
Мужчины;;;;;;;;;;;;;;;;;;
Численность всего населения по полу и возрасту на 1 января текущего года, человек;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;
;9823;10804;9294;;;;;;8917;8808;8668;8623;8548;9040;8895;8748;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;
Всего;;;;;;;;;;;;;;;;;;
